"date","network","smooth_mean","smooth_lower","smooth_upper","smooth_neg_mean","smooth_neg_lower","smooth_neg_upper"
2025-05-26,"Fox",-0.3098,-0.3098,-0.3098,19.5761,19.5761,19.5761
2025-05-26,"MSNBC/MSNow",-24.3799,-24.3799,-24.3799,32.5032,32.5032,32.5032
2025-05-26,"NBC",-10.5309,-10.5309,-10.5309,21.4782,21.4782,21.4782
2025-06-02,"ABC",-12.9098,-12.9098,-12.9098,18.0593,18.0593,18.0593
2025-06-02,"CBS",-11.2168,-11.2168,-11.2168,19.3838,19.3838,19.3838
2025-06-02,"CNN",-13.5758,-13.5758,-13.5758,24.5246,24.5246,24.5246
2025-06-02,"Fox",0.2675,0.2675,0.2675,19.2073,19.2073,19.2073
2025-06-02,"MSNBC/MSNow",-24.0316,-24.0316,-24.0316,32.3395,32.3395,32.3395
2025-06-02,"NBC",-9.2911,-9.2911,-9.2911,21.039,21.039,21.039
2025-06-09,"ABC",-12.9798,-12.9798,-12.9798,17.8601,17.8601,17.8601
2025-06-09,"CBS",-10.9208,-10.9208,-10.9208,18.935,18.935,18.935
2025-06-09,"CNN",-13.5807,-13.5807,-13.5807,24.3048,24.3048,24.3048
2025-06-09,"Fox",0.0211,0.0211,0.0211,19.253,19.253,19.253
2025-06-09,"MSNBC/MSNow",-23.6778,-23.6778,-23.6778,32.0829,32.0829,32.0829
2025-06-09,"NBC",-8.5102,-8.5102,-8.5102,20.5993,20.5993,20.5993
2025-06-16,"ABC",-12.9728,-12.9728,-12.9728,17.652,17.652,17.652
2025-06-16,"CBS",-10.7319,-10.7319,-10.7319,18.7385,18.7385,18.7385
2025-06-16,"CNN",-13.8593,-13.8593,-13.8593,24.3017,24.3017,24.3017
2025-06-16,"Fox",-0.3153,-0.3153,-0.3153,19.4829,19.4829,19.4829
2025-06-16,"MSNBC/MSNow",-23.3377,-23.3377,-23.3377,31.7719,31.7719,31.7719
2025-06-16,"NBC",-7.2158,-7.2158,-7.2158,19.6476,19.6476,19.6476
2025-06-23,"ABC",-12.736,-12.736,-12.736,17.362,17.362,17.362
2025-06-23,"CBS",-10.6536,-10.6536,-10.6536,18.6455,18.6455,18.6455
2025-06-23,"CNN",-14.1397,-14.1397,-14.1397,24.3076,24.3076,24.3076
2025-06-23,"Fox",-0.4106,-0.4106,-0.4106,19.7361,19.7361,19.7361
2025-06-23,"MSNBC/MSNow",-23.0758,-23.0758,-23.0758,31.4974,31.4974,31.4974
2025-06-23,"NBC",-6.6015,-6.6015,-6.6015,19.1996,19.1996,19.1996
2025-06-30,"ABC",-12.4694,-12.4694,-12.4694,17.2234,17.2234,17.2234
2025-06-30,"CBS",-10.6102,-10.6102,-10.6102,18.7151,18.7151,18.7151
2025-06-30,"CNN",-14.6962,-14.6962,-14.6962,24.5206,24.5206,24.5206
2025-06-30,"Fox",-0.5985,-0.5985,-0.5985,20.1291,20.1291,20.1291
2025-06-30,"MSNBC/MSNow",-22.9654,-22.9654,-22.9654,31.2637,31.2637,31.2637
2025-06-30,"NBC",-6.32,-6.32,-6.32,18.7866,18.7866,18.7866
2025-07-07,"ABC",-11.6899,-11.6899,-11.6899,16.8951,16.8951,16.8951
2025-07-07,"CBS",-10.5884,-10.5884,-10.5884,18.8804,18.8804,18.8804
2025-07-07,"CNN",-15.1929,-15.1929,-15.1929,24.9046,24.9046,24.9046
2025-07-07,"Fox",-0.4725,-0.4725,-0.4725,20.3925,20.3925,20.3925
2025-07-07,"MSNBC/MSNow",-22.8865,-22.8865,-22.8865,31.1918,31.1918,31.1918
2025-07-07,"NBC",-6.1003,-6.1003,-6.1003,18.5543,18.5543,18.5543
2025-07-14,"ABC",-10.958,-10.958,-10.958,16.7019,16.7019,16.7019
2025-07-14,"CBS",-10.6597,-10.6597,-10.6597,19.1198,19.1198,19.1198
2025-07-14,"CNN",-15.7604,-15.7604,-15.7604,25.3065,25.3065,25.3065
2025-07-14,"Fox",-0.55,-0.55,-0.55,20.622,20.622,20.622
2025-07-14,"MSNBC/MSNow",-22.8693,-22.8693,-22.8693,31.1556,31.1556,31.1556
2025-07-14,"NBC",-6.9059,-6.9059,-6.9059,18.8266,18.8266,18.8266
2025-07-21,"ABC",-10.7894,-10.7894,-10.7894,16.9389,16.9389,16.9389
2025-07-21,"CBS",-10.7493,-10.7493,-10.7493,19.3921,19.3921,19.3921
2025-07-21,"CNN",-16.429,-16.429,-16.429,25.7963,25.7963,25.7963
2025-07-21,"Fox",-1.0354,-1.0354,-1.0354,20.9418,20.9418,20.9418
2025-07-21,"MSNBC/MSNow",-22.9027,-22.9027,-22.9027,31.1136,31.1136,31.1136
2025-07-21,"NBC",-7.5182,-7.5182,-7.5182,18.5268,18.5268,18.5268
2025-07-28,"ABC",-10.883,-10.883,-10.883,17.3117,17.3117,17.3117
2025-07-28,"CBS",-10.9563,-10.9563,-10.9563,19.6721,19.6721,19.6721
2025-07-28,"CNN",-17.0885,-17.0885,-17.0885,26.1855,26.1855,26.1855
2025-07-28,"Fox",-1.7177,-1.7177,-1.7177,21.222,21.222,21.222
2025-07-28,"MSNBC/MSNow",-22.9935,-22.9935,-22.9935,31.039,31.039,31.039
2025-07-28,"NBC",-8.6272,-8.6272,-8.6272,18.6447,18.6447,18.6447
2025-08-04,"ABC",-10.9364,-10.9364,-10.9364,17.6471,17.6471,17.6471
2025-08-04,"CBS",-11.1247,-11.1247,-11.1247,19.8491,19.8491,19.8491
2025-08-04,"CNN",-17.4424,-17.4424,-17.4424,26.4914,26.4914,26.4914
2025-08-04,"Fox",-2.1651,-2.1651,-2.1651,21.2996,21.2996,21.2996
2025-08-04,"MSNBC/MSNow",-23.0592,-23.0592,-23.0592,31.0633,31.0633,31.0633
2025-08-04,"NBC",-10.594,-10.594,-10.594,19.4879,19.4879,19.4879
2025-08-11,"ABC",-10.3377,-10.3377,-10.3377,17.5047,17.5047,17.5047
2025-08-11,"CBS",-11.1768,-11.1768,-11.1768,19.8437,19.8437,19.8437
2025-08-11,"CNN",-17.4424,-17.4424,-17.4424,26.4956,26.4956,26.4956
2025-08-11,"Fox",-2.1994,-2.1994,-2.1994,20.9984,20.9984,20.9984
2025-08-11,"MSNBC/MSNow",-22.9468,-22.9468,-22.9468,31.0002,31.0002,31.0002
2025-08-11,"NBC",-12.1757,-12.1757,-12.1757,20.2161,20.2161,20.2161
2025-08-18,"ABC",-9.6465,-9.6465,-9.6465,17.1306,17.1306,17.1306
2025-08-18,"CBS",-11.1547,-11.1547,-11.1547,19.7345,19.7345,19.7345
2025-08-18,"CNN",-17.2772,-17.2772,-17.2772,26.3016,26.3016,26.3016
2025-08-18,"Fox",-2.2564,-2.2564,-2.2564,20.4796,20.4796,20.4796
2025-08-18,"MSNBC/MSNow",-22.6575,-22.6575,-22.6575,30.7719,30.7719,30.7719
2025-08-18,"NBC",-13.6199,-13.6199,-13.6199,21.0163,21.0163,21.0163
2025-08-25,"ABC",-9.0902,-9.0902,-9.0902,16.7851,16.7851,16.7851
2025-08-25,"CBS",-10.9695,-10.9695,-10.9695,19.4431,19.4431,19.4431
2025-08-25,"CNN",-17.0774,-17.0774,-17.0774,26.1668,26.1668,26.1668
2025-08-25,"Fox",-2.2098,-2.2098,-2.2098,19.9164,19.9164,19.9164
2025-08-25,"MSNBC/MSNow",-22.5072,-22.5072,-22.5072,30.7001,30.7001,30.7001
2025-08-25,"NBC",-14.3703,-14.3703,-14.3703,21.2484,21.2484,21.2484
2025-09-01,"ABC",-8.5337,-8.5337,-8.5337,16.3431,16.3431,16.3431
2025-09-01,"CBS",-10.5261,-10.5261,-10.5261,18.9392,18.9392,18.9392
2025-09-01,"CNN",-16.9045,-16.9045,-16.9045,25.9436,25.9436,25.9436
2025-09-01,"Fox",-2.0322,-2.0322,-2.0322,19.3466,19.3466,19.3466
2025-09-01,"MSNBC/MSNow",-22.4005,-22.4005,-22.4005,30.5699,30.5699,30.5699
2025-09-01,"NBC",-14.0112,-14.0112,-14.0112,20.5933,20.5933,20.5933
2025-09-08,"ABC",-8.0415,-8.0415,-8.0415,15.9352,15.9352,15.9352
2025-09-08,"CBS",-9.9258,-9.9258,-9.9258,18.437,18.437,18.437
2025-09-08,"CNN",-16.7351,-16.7351,-16.7351,25.7358,25.7358,25.7358
2025-09-08,"Fox",-1.6745,-1.6745,-1.6745,18.9427,18.9427,18.9427
2025-09-08,"MSNBC/MSNow",-22.295,-22.295,-22.295,30.3945,30.3945,30.3945
2025-09-08,"NBC",-13.3378,-13.3378,-13.3378,19.7852,19.7852,19.7852
2025-09-15,"ABC",-7.2186,-7.2186,-7.2186,15.2635,15.2635,15.2635
2025-09-15,"CBS",-9.1951,-9.1951,-9.1951,17.9073,17.9073,17.9073
2025-09-15,"CNN",-16.6177,-16.6177,-16.6177,25.5534,25.5534,25.5534
2025-09-15,"Fox",-0.9886,-0.9886,-0.9886,18.5874,18.5874,18.5874
2025-09-15,"MSNBC/MSNow",-22.2904,-22.2904,-22.2904,30.2955,30.2955,30.2955
2025-09-15,"NBC",-12.6361,-12.6361,-12.6361,19.0841,19.0841,19.0841
2025-09-22,"ABC",-6.4399,-6.4399,-6.4399,14.3918,14.3918,14.3918
2025-09-22,"CBS",-8.6841,-8.6841,-8.6841,17.5737,17.5737,17.5737
2025-09-22,"CNN",-16.522,-16.522,-16.522,25.3413,25.3413,25.3413
2025-09-22,"Fox",-0.362,-0.362,-0.362,18.2876,18.2876,18.2876
2025-09-22,"MSNBC/MSNow",-22.4729,-22.4729,-22.4729,30.358,30.358,30.358
2025-09-22,"NBC",-12.4464,-12.4464,-12.4464,18.9275,18.9275,18.9275
2025-09-29,"ABC",-5.9084,-5.9084,-5.9084,13.9236,13.9236,13.9236
2025-09-29,"CBS",-8.1005,-8.1005,-8.1005,17.1921,17.1921,17.1921
2025-09-29,"CNN",-16.5056,-16.5056,-16.5056,25.1931,25.1931,25.1931
2025-09-29,"Fox",-0.0049,-0.0049,-0.0049,18.1855,18.1855,18.1855
